milestone,planned_date,weight
Actas y permisos de 1,2026-01-02,0.01
Cerramiento perimetral - sección 2,2026-01-05,0.01
Excavación y descapote zona 3,2026-01-09,0.01
Cimentación zapata 4,2026-01-13,0.01
Estructura columna placa piso 5,2026-01-16,0.01
Mampostería divisoria piso 6,2026-01-20,0.01
Instalaciones eléctricas piso 7,2026-01-24,0.01
Instalaciones hidrosanitarias piso 8,2026-01-27,0.01
Acabados enchapes piso 9,2026-01-31,0.01
Acabados pintura piso 10,2026-02-04,0.01
Pruebas y ajustes piso 11,2026-02-07,0.01
Entrega documental lote 12,2026-02-11,0.01
Actas y permisos de 13,2026-02-15,0.01
Cerramiento perimetral - sección 14,2026-02-18,0.01
Excavación y descapote zona 15,2026-02-22,0.01
Cimentación zapata 16,2026-02-26,0.01
Estructura columna placa piso 17,2026-03-01,0.01
Mampostería divisoria piso 18,2026-03-05,0.01
Instalaciones eléctricas piso 19,2026-03-09,0.01
Instalaciones hidrosanitarias piso 20,2026-03-12,0.01
Acabados enchapes piso 21,2026-03-16,0.01
Acabados pintura piso 22,2026-03-20,0.01
Pruebas y ajustes piso 23,2026-03-23,0.01
Entrega documental lote 24,2026-03-27,0.01
Actas y permisos de 25,2026-03-31,0.01
Cerramiento perimetral - sección 26,2026-04-03,0.01
Excavación y descapote zona 27,2026-04-07,0.01
Cimentación zapata 28,2026-04-11,0.01
Estructura columna placa piso 29,2026-04-14,0.01
Mampostería divisoria piso 30,2026-04-18,0.01
Instalaciones eléctricas piso 31,2026-04-22,0.01
Instalaciones hidrosanitarias piso 32,2026-04-25,0.01
Acabados enchapes piso 33,2026-04-29,0.01
Acabados pintura piso 34,2026-05-03,0.01
Pruebas y ajustes piso 35,2026-05-06,0.01
Entrega documental lote 36,2026-05-10,0.01
Actas y permisos de 37,2026-05-14,0.01
Cerramiento perimetral - sección 38,2026-05-17,0.01
Excavación y descapote zona 39,2026-05-21,0.01
Cimentación zapata 40,2026-05-25,0.01
Estructura columna placa piso 41,2026-05-28,0.01
Mampostería divisoria piso 42,2026-06-01,0.01
Instalaciones eléctricas piso 43,2026-06-05,0.01
Instalaciones hidrosanitarias piso 44,2026-06-08,0.01
Acabados enchapes piso 45,2026-06-12,0.01
Acabados pintura piso 46,2026-06-16,0.01
Pruebas y ajustes piso 47,2026-06-19,0.01
Entrega documental lote 48,2026-06-23,0.01
Actas y permisos de 49,2026-06-27,0.01
Cerramiento perimetral - sección 50,2026-06-30,0.01
Excavación y descapote zona 51,2026-07-04,0.01
Cimentación zapata 52,2026-07-08,0.01
Estructura columna placa piso 53,2026-07-11,0.01
Mampostería divisoria piso 54,2026-07-15,0.01
Instalaciones eléctricas piso 55,2026-07-19,0.01
Instalaciones hidrosanitarias piso 56,2026-07-22,0.01
Acabados enchapes piso 57,2026-07-26,0.01
Acabados pintura piso 58,2026-07-30,0.01
Pruebas y ajustes piso 59,2026-08-02,0.01
Entrega documental lote 60,2026-08-06,0.01
Actas y permisos de 61,2026-08-10,0.01
Cerramiento perimetral - sección 62,2026-08-13,0.01
Excavación y descapote zona 63,2026-08-17,0.01
Cimentación zapata 64,2026-08-21,0.01
Estructura columna placa piso 65,2026-08-24,0.01
Mampostería divisoria piso 66,2026-08-28,0.01
Instalaciones eléctricas piso 67,2026-09-01,0.01
Instalaciones hidrosanitarias piso 68,2026-09-04,0.01
Acabados enchapes piso 69,2026-09-08,0.01
Acabados pintura piso 70,2026-09-12,0.01
Pruebas y ajustes piso 71,2026-09-15,0.01
Entrega documental lote 72,2026-09-19,0.01
Actas y permisos de 73,2026-09-23,0.01
Cerramiento perimetral - sección 74,2026-09-26,0.01
Excavación y descapote zona 75,2026-09-30,0.01
Cimentación zapata 76,2026-10-04,0.01
Estructura columna placa piso 77,2026-10-07,0.01
Mampostería divisoria piso 78,2026-10-11,0.01
Instalaciones eléctricas piso 79,2026-10-15,0.01
Instalaciones hidrosanitarias piso 80,2026-10-18,0.01
Acabados enchapes piso 81,2026-10-22,0.01
Acabados pintura piso 82,2026-10-26,0.01
Pruebas y ajustes piso 83,2026-10-29,0.01
Entrega documental lote 84,2026-11-02,0.01
Actas y permisos de 85,2026-11-06,0.01
Cerramiento perimetral - sección 86,2026-11-09,0.01
Excavación y descapote zona 87,2026-11-13,0.01
Cimentación zapata 88,2026-11-17,0.01
Estructura columna placa piso 89,2026-11-20,0.01
Mampostería divisoria piso 90,2026-11-24,0.01
Instalaciones eléctricas piso 91,2026-11-28,0.01
Instalaciones hidrosanitarias piso 92,2026-12-01,0.01
Acabados enchapes piso 93,2026-12-05,0.01
Acabados pintura piso 94,2026-12-09,0.01
Pruebas y ajustes piso 95,2026-12-12,0.01
Entrega documental lote 96,2026-12-16,0.01
Actas y permisos de 97,2026-12-20,0.01
Cerramiento perimetral - sección 98,2026-12-23,0.01
Excavación y descapote zona 99,2026-12-27,0.01
Cimentación zapata 100,2026-12-31,0.01
